field,default,meaning,default_type,source
QC_DEFAULTS.mutationBurden.lowBurdenThreshold,50,Mutation count below which samples receive a low-burden review cue.,configurable convenience default,mSigSDKScripts/qc.js:23
QC_DEFAULTS.mutationBurden.lowBurdenThresholdMode,fixed,Mutation count below which samples receive a low-burden review cue.,configurable convenience default,mSigSDKScripts/qc.js:24
QC_DEFAULTS.mutationBurden.quantile,0.25,Quantile used when threshold mode is quantile-based.,configurable convenience default,mSigSDKScripts/qc.js:25
QC_DEFAULTS.mutationBurden.moderateBurdenThreshold,1000,Mutation count boundary used to separate low/moderate burden review context.,configurable convenience default,mSigSDKScripts/qc.js:26
QC_DEFAULTS.sampleSelection.limit,10,Maximum number of records selected by the helper.,configurable convenience default,mSigSDKScripts/qc.js:29
QC_DEFAULTS.sampleSelection.minTotalMutations,0,Configurable default for QC_DEFAULTS.sampleSelection.minTotalMutations; current value is 0.,configurable convenience default,mSigSDKScripts/qc.js:30
QC_DEFAULTS.sampleSelection.maxTotalMutations,Infinity,Configurable default for QC_DEFAULTS.sampleSelection.maxTotalMutations; current value is Infinity.,configurable convenience default,mSigSDKScripts/qc.js:31
QC_DEFAULTS.exposureNormalization.pseudocount,0.000001,Small value used to stabilize normalization.,configurable convenience default,mSigSDKScripts/qc.js:38
QC_DEFAULTS.residuals.lowBurdenThreshold,100,Mutation count below which samples receive a low-burden review cue.,configurable convenience default,mSigSDKScripts/qc.js:44
QC_DEFAULTS.residuals.moderateBurdenThreshold,1000,Mutation count boundary used to separate low/moderate burden review context.,configurable convenience default,mSigSDKScripts/qc.js:45
QC_DEFAULTS.residuals.weakUnexplainedThreshold,0.07,Relative unexplained residual fraction that begins residual-structure review.,configurable convenience default,mSigSDKScripts/qc.js:46
QC_DEFAULTS.residuals.highResidualStructureCosineThreshold,0.85,Cosine threshold for matching positive residual structure to a reference signature.,configurable convenience default,mSigSDKScripts/qc.js:47
